guid ausgelesen,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Remarques,Bemerkungen,Osservazioni
15DE5502-A441-4C05-84DE-6929A4FE0599,NT,Potenziell gefährdet,B2b(iv),Forêts,Wälder,Boschi
DCD6DC2C-9887-4795-ADFC-E0C656D8949A,LC,Nicht gefährdet,,,,
744C9E18-D56E-4389-9484-197278848C1C,CR,Vom Aussterben bedroht,"B2a, B2b(i, iii, iv)",Forêts,Wälder,Boschi
06BFF01F-8212-4D8B-96B8-4E952CBF0B08,LC,Nicht gefährdet,,,,
7EF2912D-B6B0-49FC-92B3-E46357E06FDE,VU,Verletzlich,"B1, B2b(iv)","Forêts, Milieux construits, Roches et éboulis","Wälder, Siedlungsgebiete, Felsen und Steinschutt","Boschi, ambienti edificati, rocce e ghiaioni"
ED11DF9C-B2B1-4A56-B6F6-BC9F5A14B63F,LC,Nicht gefährdet,,,,
BE098A11-BB20-4AF8-B8BF-00D38D9885A6,NT,Potenziell gefährdet,"B2a, B2b(iv)",Rives et milieux humides,Ufer und Feuchtgebiete,Rive e ambienti umidi
68B93D5B-6288-4B6D-B170-8A5E91B89DA8,EN,Stark gefährdet,"B1, B2b(iii)","Forêts, Milieux construits, Roches et éboulis","Wälder, Siedlungsgebiete, Felsen und Steinschutt","Boschi, ambienti edificati, rocce e ghiaioni"
0A389E22-D122-4220-B98F-E9AF0CE0D2C9,NE,Nicht beurteilt,,introduit; problème taxinomique,Eingeschleppt; taxonomisch problematisch,Introdotta; problema tassonomico
CED10164-3F78-4A92-B01B-3B0FCA623047,LC,Nicht gefährdet,,,,
F367B464-FFE5-45BD-B232-3E922B0516F3,NT,Potenziell gefährdet,B2a,"Forêts, Roches et éboulis","Wälder, Felsen und Steinschutt","Boschi, rocce e ghiaioni"
33C652C3-DAC9-4C88-AA95-758008D940A6,EN,Stark gefährdet,"B2a, B2b(iv)",Forêts,Wälder,Boschi
221DB02F-7483-438B-AB2E-157D07B11622,VU,Verletzlich,"B2a, B2b(iii)","Eaux froides des lacs, rivières et sources","Kaltgewässer der Seen, Fliessgewässer und Quellen","Acque fredde di laghi, fiumi e sorgenti"
9C36B050-D12E-4FAC-9864-0010BD12F82B,LC,Nicht gefährdet,,,,
2F962AB8-7829-434C-AABC-5C8B9035B9B6,LC,Nicht gefährdet,,,,
FB89A9F0-9970-459A-8E77-203D61339D80,LC,Nicht gefährdet,,,,
32F0D82A-D7A4-468D-8261-BDF972DE1C3E,LC,Nicht gefährdet,,,,
CBD73DAA-025F-4D75-858A-EC5552844D03,EN,Stark gefährdet,"B2a, B2b(iv)","Prairies et pâturages, Rives et milieux humides, Roches et éboulis","Wiesen und Weiden, Ufer und Feuchtgebiete, Felsen und Steinschutt","Prati e pascoli, rive e ambienti umidi, rocce e ghiaioni"
3E5A15BD-E5C9-432E-A817-57B9BC645D31,CR,Vom Aussterben bedroht,"B2a, B2b(iv)","Milieux construits, Prairies et pâturages, Roches et éboulis","Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt","Ambienti edificati, prati e pascoli, rocce e ghiaioni"
2BE3B5FC-F5D2-4AB6-A771-B69CB3F2DD45,LC,Nicht gefährdet,,,,
F7856210-9DE7-4313-BD6A-ECA6E3F32458,NT,Potenziell gefährdet,"B2a, B2b(iv)","Prairies et pâturages, Roches et éboulis","Wiesen und Weiden, Felsen und Steinschutt","Prati e pascoli, rocce e ghiaioni"
2985FDA9-7E38-49F0-A96F-51473AB60416,NT,Potenziell gefährdet,B2a,"Prairies et pâturages, Roches et éboulis","Wiesen und Weiden, Felsen und Steinschutt","Prati e pascoli, rocce e ghiaioni"
29D9F103-1D0D-4116-BEC7-20CF70B2A886,LC,Nicht gefährdet,,,,
6D058FED-7A2B-4805-AB7C-B24EFF22D691,EN,Stark gefährdet,"B2a, B2b(iv)",Rives et milieux humides,Ufer und Feuchtgebiete,Rive e ambienti umidi
0CFAF8B1-EACF-4F9D-A56C-B779ADFF36A0,VU,Verletzlich,"B2a, B2b(iii)",Rives protégées des lacs et des fleuves,Geschützte See- und Flussufer,Rive protette di laghi e fiumi
07508B7B-67CD-49AE-A960-47B32DBEB36B,LC,Nicht gefährdet,,,,
FE41BA54-B6FD-4F88-805F-5EEE8A38F59B,LC,Nicht gefährdet,,,,
B8EF59B4-0002-4006-86CB-7B7BFCF0C391,LC,Nicht gefährdet,,,,
E8059E0D-2035-43C3-99A7-873E2C889C36,NT,Potenziell gefährdet,B2,"Forêts, Roches et éboulis","Wälder, Felsen und Steinschutt","Boschi, rocce e ghiaioni"
3D499305-EC51-49DF-8F5B-F6082F355807,EN,Stark gefährdet,"B2a, B2b(i, iii, iv)",Forêts,Wälder,Boschi
C44D5D6F-FD60-448F-949D-4BFCDA1EE774,VU,Verletzlich,"B2a, B2b(iii)",Rives lacustres et marais et fossés à vase organiques,Seeufer und Moore und Gräben mit organischem Schlamm,"Rive lacustri, paludi e fossati con limo organico"
13C75119-9764-442D-937E-21C41E585B01,VU,Verletzlich,"B2a, B2b(iv)",Forêts,Wälder,Boschi
F4C72526-D169-4670-8ECD-2C3E428196C0,EN,Stark gefährdet,"B2a, B2b(iv)",Forêts,Wälder,Boschi
8DC34594-5CEC-4C70-B3F6-A249603CC6F2,CR,Vom Aussterben bedroht,B2a,"Milieux construits, Roches et éboulis","Siedlungsgebiete, Felsen und Steinschutt","Ambienti edificati, rocce e ghiaioni"
FD895AB7-76A1-4335-8160-4458920C121B,VU,Verletzlich,"B2a, B2b(ii)","Forêts, Milieux construits, Roches et éboulis","Wälder, Siedlungsgebiete, Felsen und Steinschutt","Boschi, ambienti edificati, rocce e ghiaioni"
6051E822-4875-481B-B38F-473F22C67616,DD,Ungenügende Datengrundlage,,Aggrégat d'espèces contenant S.fuscus et autres,Arten-Aggregat mit S.fuscus,Aggregato di specie comprendente tra le altre S. fuscus
FA4914A5-F8C6-4F87-AAC8-0771DC41B79A,LC,Nicht gefährdet,,,,
2A774C69-7B18-457F-975F-2981809954A9,LC,Nicht gefährdet,,,,
6DE93222-5DA3-4E1B-9DB4-E42351FF74C3,NE,Nicht beurteilt,,Introduit,Eingeschleppt,Introdotta
6FBA9324-F019-45B2-9D7A-A181A788B57B,CR,Vom Aussterben bedroht,"B2a, B2c(v)",Forêts,Wälder,Boschi
F3561380-E810-472D-9FF9-39F668A56EC6,NT,Potenziell gefährdet,B2a,"Forêts, Milieux construits, Roches et éboulis","Wälder, Siedlungsgebiete, Felsen und Steinschutt","Boschi, ambienti edificati, rocce e ghiaioni"
D7568C61-68FA-49F8-B08C-0A0102184B50,DD,Ungenügende Datengrundlage,,2 mentions; probablement introduit au Tessin,2 Fundmeldungen; vermutlich im TI eingeschleppt,2 segnalazioni; probabilmente introdotta in Ticino
354D9A5E-3E64-4EE2-9DCC-767B7B652135,DD,Ungenügende Datengrundlage,,Pas assez de données pour statuer; statut taxinomique peu clair,Ungenügende Datengrundlage; taxonomisch unsicher,Dati insufficienti per la valutazione dello status; status tassonomico poco chiaro
EBEA71DF-BA7C-47A4-B2D8-49BA7E558C29,VU,Verletzlich,"B2a, B2b(iii), C2a","Prairies et pâturages, Roches et éboulis","Wiesen und Weiden, Felsen und Steinschutt","Prati e pascoli, rocce e ghiaioni"
93A87161-55D8-4683-ACED-89CFD47FA23D,VU,Verletzlich,"B2a, C2a(i)",Roches et éboulis,Felsen und Steinschutt,Rocce e ghiaioni
47E29242-1AF8-4CFB-A34B-07EE74A07BF1,LC,Nicht gefährdet,,,,
EC60E0BE-E19C-40A1-B573-5A20C84770D2,NT,Potenziell gefährdet,"B2a, B2b(iv)","Forêts, Prairies et pâturages, Roches et éboulis, Ecotones","Wälder, Wiesen und Weiden, Felsen und Steinschutt, Säume","Boschi, prati e pascoli, rocce e ghiaioni, ecotoni"
A75ADD4D-6E9C-4DAD-BA44-19F2F1CA3261,NT,Potenziell gefährdet,B2,"Forêts, Roches et éboulis","Wälder, Felsen und Steinschutt","Boschi, rocce e ghiaioni"
9C6044F0-8105-4F25-B229-9C576085F017,DD,Ungenügende Datengrundlage,,Endémique local; ne peut être déterminé que par génétique,"Lokalendemit, der nur aufgrund genetischer Analyse bestimmt werden kann",Endemismo locale; può essere determinata solo attraverso un'analisi genetica
05118507-26A6-47DC-BA93-8F79D778772D,LC,Nicht gefährdet,,,,
B4D69A7C-A25C-4EEB-8777-880519ADC9B8,NT,Potenziell gefährdet,"B2a, B2b(iv)",Forêts,Wälder,Boschi
E961A79F-1253-4B92-919B-2A8E55768F20,LC,Nicht gefährdet,,,,
0E78CB07-0215-48C5-A7D8-5B9F42C36244,NT,Potenziell gefährdet,B2a,"Milieux construits, Prairies et pâturages, Roches et éboulis","Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt","Ambienti edificati, prati e pascoli, rocce e ghiaioni"
BD455DA3-033F-4482-A571-08CA07526521,EN,Stark gefährdet,"B2a, B2b(iv)",Prairies et pâturages,Wiesen und Weiden,Prati e pascoli
8C986976-A261-4868-8E3B-EB56EF17632E,LC,Nicht gefährdet,,,,
31FA0A1C-6DAD-4B30-AB42-7890F700DB14,VU,Verletzlich,"B2a, B2b(iv)","Prairies et pâturages, Roches et éboulis","Wiesen und Weiden, Felsen und Steinschutt","Prati e pascoli, rocce e ghiaioni"
4A7BAAD9-C970-4189-9998-1CA8147B5D46,LC,Nicht gefährdet,,,,
791152FD-EFFC-4A12-AD19-6038FED55718,CR,Vom Aussterben bedroht,"B2a, B2b(i, iii, iv)",Prairies et pâturages,Wiesen und Weiden,Prati e pascoli
8C190BD0-A621-45DD-87B0-BA475B84479F,EN,Stark gefährdet,"B2a, B2b(iv)","Prairies et pâturages, Rives et milieux humides","Wiesen und Weiden, Ufer und Feuchtgebiete","Prati e pascoli, rive e ambienti umidi"
322EBFF4-2A17-4230-82F1-245EFFE24FC2,LC,Nicht gefährdet,,,,
7C9842D0-5326-404E-875B-38A8C5390BF8,LC,Nicht gefährdet,,,,
703A6BB6-1EC8-4E6B-B690-E0CC363F03B8,NT,Potenziell gefährdet,"B2a, B2b(iv)","Forêts, Prairies et pâturages, Roches et éboulis","Wälder, Wiesen und Weiden, Felsen und Steinschutt","Boschi, prati e pascoli, rocce e ghiaioni"
D6CB13C7-477D-450E-9798-54C24293D37C,EN,Stark gefährdet,"B2a, B2b(iv)","Forêts, Rives et milieux humides","Wälder, Ufer und Feuchtgebiete","Boschi, rive e ambienti umidi"
1474DBEF-5A12-4F59-B6B1-C0E412513B43,VU,Verletzlich,"B2a, B2b(iii)",Rives et milieux humides,Ufer und Feuchtgebiete,Rive e ambienti umidi
BBFA53AD-A3B0-476D-B224-25543F6BC374,EN,Stark gefährdet,"B2a, B2b(i, ii, iii, iv, v)",Rives et milieux humides,Ufer und Feuchtgebiete,Rive e ambienti umidi
3E378315-6F4D-41C1-B10A-EAA0E0A30DCD,CR,Vom Aussterben bedroht,"B2a, B2b(iii)","Forêts, Rives et milieux humides","Wälder, Ufer und Feuchtgebiete","Boschi, rive e ambienti umidi"
AD1A2619-36E3-43B3-A4B9-DF8E334C286A,DD,Ungenügende Datengrundlage,,2 sites suisses avec coquille vide (déchet de crue),2 Standorte in CH mit leeren Schalen (durch Hochwasser freigelegt),2 luoghi in Svizzera con gusci vuoti (depositi alluvionali)
BADA80BF-FEBA-4009-B47A-96D508DC5665,CR,Vom Aussterben bedroht,"B2a, B2b(i, iii, iv)",Rives et milieux humides,Ufer und Feuchtgebiete,Rive e ambienti umidi
532B5FD6-DA0F-41BA-B7FA-F9B1C6F42EA7,EN,Stark gefährdet,"B2a, B2b(iii)",Rives et milieux humides,Ufer und Feuchtgebiete,Rive e ambienti umidi
2044ECBF-7175-4649-B945-F8D6AD69F3FF,NT,Potenziell gefährdet,"B2a, B2b(ii)","Forêts, Milieux construits, Prairies et pâturages, Roches et éboulis","Wälder, Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt","Boschi, ambienti edificati, prati e pascoli, rocce e ghiaioni"
C62E0F4B-3EE9-4271-B25A-50EF53A1BC19,LC,Nicht gefährdet,,,,
869B0171-4900-4D75-B719-61DEA0A7BDB4,VU,Verletzlich,"B2a, B2b(iv)","Forêts, Rives et milieux humides","Wälder, Ufer und Feuchtgebiete","Boschi, rive e ambienti umidi"
4DF20DC3-301B-4624-A318-16DF648B9C30,LC,Nicht gefährdet,,,,
846B78FE-F3B8-4323-A988-0202A16D27FF,LC,Nicht gefährdet,,,,
E4A570ED-87BE-429F-B416-88147762DE39,LC,Nicht gefährdet,,,,
20BFE33F-89B8-49DC-ACA4-3C853D525897,LC,Nicht gefährdet,,,,
7BF5885D-A87B-4041-9C61-121FBB753E4C,LC,Nicht gefährdet,,,,
FA5373CF-D25E-40D0-B5F5-D41C8E0FA583,LC,Nicht gefährdet,,,,
38F27C6F-20ED-4056-9295-36A4C9B57826,DD,Ungenügende Datengrundlage,,2 mentions années 1980; en limite d'aire,2 Fundmeldungen 1980; am Rande seines Verbreitungsareals,2 segnalazioni negli anni '80; al limite dell'areale
B23C0D19-CA51-4B25-B9F9-CD4C0C490200,CR,Vom Aussterben bedroht,"B2a, B2b(iv)",Prairies et pâturages,Wiesen und Weiden,Prati e pascoli
CEE76C04-0867-401E-A68C-DC5665DAB609,NT,Potenziell gefährdet,B2b(ii),"Milieux construits, Prairies et pâturages","Siedlungsgebiete, Wiesen und Weiden","Ambienti edificati, prati e pascoli"
14CC703B-8F3B-4845-8C34-2A07ACD69AB9,VU,Verletzlich,"B2a, B2b(ii, iii, iv)",Prairies et pâturages,Wiesen und Weiden,Prati e pascoli
6DB611A5-B3EB-4F0F-A40A-61F86084DBEE,NE,Nicht beurteilt,,Introduit,Eingeschleppt,Introdotta
5442390C-9709-4A5D-A57B-E9F0BB6FCEEB,NT,Potenziell gefährdet,B2,"Forêts, Rives et milieux humides","Wälder, Ufer und Feuchtgebiete","Boschi, rive e ambienti umidi"
9B631957-20F1-489F-A0E8-4B0CB3DFC0E6,EN,Stark gefährdet,"B2a, B2b(iv)","Ecotones, Forêts","Säume, Wälder","Ecotoni, boschi"
E41087EC-52B5-4E52-9589-11F47490638D,VU,Verletzlich,"B2a, B2b(i,ii,iii)","Rives lacustres, vieux bras","Seeufer, Altwässer","Rive lacustri, lanche"
F752DF64-EB79-44C9-BD10-F14EDED366D5,LC,Nicht gefährdet,,,,
BE0E3741-0665-49AA-AB91-4CA84FE8E623,RE,In der Schweiz ausgestorben,,"Seule mention datée 1923, rives lacustres, vieux bras","Einziger Nachweis aus dem Jahre 1923. Seeufer, Atlwässer","Unica segnalazione nel 1923, rive lacustri, lanche"
3B6937C8-6B4B-4985-A2C6-45C2D2CB31ED,CR,Vom Aussterben bedroht,"B2a, B2b(i, ii, iii)","Eaux très propres: fossés, ruisseaux, rivières, rives lacustres","Sehr saubere Gewässer: Gräben, Bäche, Flüsse, Seeufer","Acque molto pulite: fossati, ruscelli, fiumi, rive lacustri"
92B5D2E4-4441-48E7-B669-384E469A2C4D,EN,Stark gefährdet,"B2a, B2b(i, ii, iii)","Rives lacustres (vase/sable), vieux bras","Seeufer (Schlamm/Sand), Altwässer","Rive lacustri (limo/sabbia), lanche"
708B6133-14F2-4A67-B56A-B8A74A104D6A,EN,Stark gefährdet,"B2a , B2b(i, ii, iii)","Rives lacustres (sable, graviers fins), vieux bras","Seeufer (Sand, Feinkies), Altwässer","Rive lacustri (sabbia, ghiaia fine), lanche"
6290C3AD-0435-4DEE-93FE-7E65B3A3DCA5,EN,Stark gefährdet,"B2a, B2b(i, ii, iii)","Rives lacustres (vase/sable), vieux bras","Seeufer (Schlamm/Sand), Altwässer","Rive lacustri (limo/sabbia), lanche"
4BABD391-E911-45F3-81AB-BA0F046E8C6C,NE,Nicht beurteilt,,"Introduite, première mention Rhin Bâle, 1994","Eingeführt, erste Fundmeldung im Rhein bei Basel, 1994","Introdotta, prima segnalazione nel Reno presso  Basilea, 1994"
96BC42D4-BEBA-4FD4-B6B7-1C42EF7205D5,NE,Nicht beurteilt,,"Introduite, première mention Rhin Bâle, 1994","Eingeführt, erste Fundmeldung im Rhein bei Basel, 1994","Introdotta, prima segnalazione nel Reno presso  Basilea, 1994"
C03CFB57-118F-4CE7-B893-EADB54F6A44D,NE,Nicht beurteilt,,"Introduite, première mention Léman, 1964","Eingeführt, erste Fundmeldung Genfersee, 1964","Introdotta, prima segnalazione nel Lemano, 1964"
87D8D508-F9D6-4434-A7C8-7BCB373E26BD,LC,Nicht gefährdet,,,,
C91F4441-AA80-4E6F-AEEF-208DA28FD2A9,NE,Nicht beurteilt,,"Introduite, première mention Oberglatt, 2004","Eingeführt, erste Fundmeldung Oberglatt, 2004","Introdotta, prima segnalazione a Oberglatt, 2004"
B0CAEC66-C250-40AA-9565-5FC275BF5FCE,NT,Potenziell gefährdet,,Fonds sableux à limoneux des lacs et fleuves,Sandiger bis lehmiger Grund der Seen und Flüsse,Fondali sabbiosi-limosi di laghi e fiumi
96506A8C-3B4C-42CF-8A7C-6161A388D79A,LC,Nicht gefährdet,,,,
7EE1B84C-2178-444F-B56A-BC11518676A2,VU,Verletzlich,"B2a, B2b(iii)",Eaux froides des grands lacs et plans d’eau alpins,Kaltgewässer der grossen Seen und alpinen Stehgewässer,Acque fredde di grandi laghi e specchi d'acqua alpini
3FB5CB1D-2275-46C4-A365-E4C1F097600F,LC,Nicht gefährdet,,,,
F7D1CD56-9B68-4DEE-8EAB-62B7704A2B96,NT,Potenziell gefährdet,,"Lacs, étangs, fleuves et canaux","Seen, Weiher, Flüsse und Kanäle","Laghi, stagni, fiumi e canaux"
945994E1-6A86-4428-AD73-3998DDACD22F,VU,Verletzlich,"B2a, B2b(iii)",Littoral oxygéné des grands lacs,Sauerstoffreiche Uferzonen der grossen Seen,Litorali ossigenati di grandi laghi
B1F72E18-C4F7-477A-9ED9-1749DFEE14E2,LC,Nicht gefährdet,,,,
8671BE39-2BF8-45F3-946E-A0ADA284B57D,LC,Nicht gefährdet,,,,
40A6A749-AF38-4AB5-95D3-8E96A51C5080,LC,Nicht gefährdet,,,,
BCE1A822-A30B-484D-8878-B08F334C9F04,NT,Potenziell gefährdet,,"Rives lacustres, étangs et marais","Seeufer, Weiher und Moore","Rive lacustri, stagni e paludi "
A97089BB-BF3F-48E2-9965-F31896D2217D,LC,Nicht gefährdet,,,,
0B6C926F-DCBE-4EEB-95FD-890AFEB07228,EN,Stark gefährdet,"B2a, B2b(i, ii)",Etangs et marais de plaine,Weiher und Moore der Tieflagen,Stagni e paludi  di pianura
A783B3F7-A8A0-41BB-A735-3AA20CDCE86E,DD,Ungenügende Datengrundlage,,,,
0E59E45A-60A1-4435-AF24-EA442BD6E419,LC,Nicht gefährdet,,,,
39873F2B-2009-456B-A911-66CBAF18266E,NT,Potenziell gefährdet,,Fonds sableux à limoneux des lacs et fleuves,Sandiger bis lehmiger Grund der Seen und Flüsse,Fondali sabbiosi-limosi di laghi e fiumi
89AAC047-A523-4CA7-ABE8-95C15483ACEC,VU,Verletzlich,"B2a, B2b(iii)",Rivières et littoral pauvres en phosphates,Fliessgewässer und phosphatarme Uferzonen,Fiumi e litorali poveri di fosfati
D64101A9-0E03-4A6A-AB98-06703F8610EE,LC,Nicht gefährdet,,,,
