guid,Schweiz (codiert),Schweiz (uncodiert),Remarques,Bemerkungen,Osservazioni
398F7D8A-2831-4F2B-A918-A0B6BA2EB02F,4,potentiell gefährdet,"prés maigres, xérophile","Magerrasen, xerotherm","prati magri, xerotermi"
FF2CA193-63DA-4F0D-B666-083E7ABB56F6,3,gefährdet,"prés maigres, sable","Magerrasen, Sand","prati magri, sabbia"
665AE36E-BEDC-4135-8349-777E4E804D96,3,gefährdet,,,
1BA1A263-8855-4194-ABD9-B8B96B7CEB4C,0,ausgestorben oder verschollen,,,
D8F1D419-0547-410F-AE1B-196869576422,3,gefährdet,,,
1B2F1232-301E-4913-AF49-587D65D86A90,3,gefährdet,prés secs,Trockenrasen,prati secchi
A632BBD4-4748-478B-9AC6-87D73683355C,3,gefährdet,"prés secs, lisières de forêts","Trockenrasen, Waldränder","prati secchi, bordi di bosco"
CCD60B67-1B51-4964-BB91-828978531DDC,3,gefährdet,,,
D37D79B8-ABCB-42B7-BF3F-2318058F5A71,1,vom Aussterben bedroht,"prés secs, sable","Trockenrasen, Sand","prati secchi, sabbia"
84CBB256-3484-4579-B1DD-C87110B23136,1,vom Aussterben bedroht,"autrefois, canton du TI",früher Kt. Tessin,un tempo Canton Ticino
C2C503ED-0176-4667-88F8-E42607415098,2,stark gefährdet,"prés maigres, sable","Magerrasen, Sand","prati magri, sabbia"
88116E71-683E-4063-8A12-92B4394DC907,2,stark gefährdet,dans le sable,Sandbewohner,vive nella sabbia
EE405BC1-DB66-4E71-943D-C53E14D30C7D,0,ausgestorben oder verschollen,autrefois canton de GE,früher Kt. Genf,un tempo Canton Ginevra
23F3A1AF-090C-4DB2-84BF-E02A119EA163,1,vom Aussterben bedroht,,,
A25120F6-D1DE-4054-BB04-0F93305C216A,0,ausgestorben oder verschollen,autrefois Engadine,früher Engadin,un tempo Engadina
69F3916F-ABE0-406E-8682-A51521D1CFAD,2,stark gefährdet,,,
7B628AA2-CDBF-40C8-9244-7A252F7A6427,3,gefährdet,dans le sable,Sandbewohner,vive nella sabbia
80BEA6F1-0472-4BA6-9A72-22753B2CDA24,0,ausgestorben oder verschollen,autrefois canton de GE,früher Kt. Genf,un tempo Canton Ginevra
CBCECCB7-8731-4F29-B7BA-1AC5E5B0C38D,3,gefährdet,,,
67E5BD23-6FE7-4533-A5CD-A853D628946B,0,ausgestorben oder verschollen,,,
6541093A-5036-458A-99AB-E83E48A24D93,0,ausgestorben oder verschollen,dans le sable,Sandbewohner,vive nella sabbia
B00BDEA7-9FE5-4FF2-84F3-23675C785A41,3,gefährdet,,,
62D263BF-2831-4781-AF79-AFDA6AA8F5FA,3,gefährdet,,,
FB9D2749-765A-4135-8662-B0052A904065,3,gefährdet,,,
34435AB3-5BF0-426F-AAF7-8FA605913C60,1,vom Aussterben bedroht,,,
7FA48FF8-96AA-46F5-9A08-C331A7908B61,1,vom Aussterben bedroht,,,
71876CE1-1762-4D7B-B13E-6E62C9C0C83A,3,gefährdet,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
341F09CA-E83A-4C9D-9B29-99621E6C6E09,0,ausgestorben oder verschollen,,,
C002CE12-74B1-40C6-B096-B70BE06262A6,1,vom Aussterben bedroht,,,
3BE76C3E-803E-4A72-B3B5-5C686359B72D,4,potentiell gefährdet,,,
9DB2415E-B99B-4BBA-9D77-A2E5A04661AB,4,potentiell gefährdet,,,
B7C3E9C7-47FB-417A-9F5C-D0247586678C,3,gefährdet,dans régions sablonneuses,in Sandgebieten,in zone sabbiose
E7FBE641-498B-42BA-AC44-A91B75D67B6B,3,gefährdet,,,
D90E115D-B633-4AD9-BE58-6F4DFA928C1B,3,gefährdet,dans régions sablonneuses,in Sandgebieten,in zone sabbiose
112E628F-80DE-47E6-86C6-96588D9F2A1E,0,ausgestorben oder verschollen,,,
72EBCEC1-F952-4A79-99D0-164243A86AD8,2,stark gefährdet,,,
D49DCA9D-BCFC-47D3-AA25-D6C61B8E8473,4,potentiell gefährdet,,,
A633931B-FE05-4AD5-AFB5-15B826BF549F,4,potentiell gefährdet,,,
E6BF26AF-B823-4EFA-94E6-E70C65272807,1,vom Aussterben bedroht,sur Convolvulus,auf Convolvulus,su Convolvulus
EEE465BC-7DF5-44DA-84F2-7A2D944C6DCE,0,ausgestorben oder verschollen,sur Convolvulus,auf Convolvulus,su Convolvulus
98D7D40E-185D-4C2E-9C1E-2229837B24A5,2,stark gefährdet,sur Scabiosa,auf Skabiosa,su Scabiosa
A19EC252-4C63-4817-B18F-7E6F1576C427,3,gefährdet,"dans le sable, sur Asteraceae","Sandbewohner, auf Asteraceae","vive nella sabbia, sulle Asteraceae"
E32FE589-D0CD-46A3-BC14-37265294A39D,2,stark gefährdet,sur Lythrum,auf Lythrum,su Lythrum
5E813F25-1F06-47B1-8590-99D6E06351A3,3,gefährdet,sur Odontites,auf Odontites,su Odontites
760645FA-B8FE-4A51-92A8-E6625D91F072,3,gefährdet,,,
60BFA8F7-83FD-46FE-8F35-F6996A04EEFF,0,ausgestorben oder verschollen,,,
14F5894E-4BE0-4A33-855E-5EFA3B2B30DD,1,vom Aussterben bedroht,,,
2C117DFF-DCD4-4127-A714-0E3F94D45D1F,2,stark gefährdet,,,
CD7CAB43-CDA2-4828-87EB-14D4ADDDFF4C,3,gefährdet,sur Asteraceae,auf Asteraceae,sulle Asteraceae
F81E0645-3019-4962-86CF-3633B729D048,0,ausgestorben oder verschollen,autrefois canton du Tl,früher Kt. Tessin,un tempo Cantone Ticino
7DA5B2DC-3609-41F0-A275-BDBC772B43D4,3,gefährdet,,,
99AFB294-40AA-4852-B7BC-2AD396894455,2,stark gefährdet,,,
003BEA06-E9CA-480E-B96D-3CAFAA3C6243,1,vom Aussterben bedroht,,,
C1F106AC-F08D-4E30-B1E2-32BAFA1E78EE,3,gefährdet,,,
6EB97686-2BFE-4EF6-B71A-CCF2664B9C97,0,ausgestorben oder verschollen,autrefois canton de GE,früher Kt. Genf,un tempo Canton Ginevra
FBD05718-D852-4DAC-8A48-0196D8BC4A80,3,gefährdet,,,
91B9BBBD-0DBC-4146-B60E-AC5F532274E8,3,gefährdet,,,
1DD5541E-53E0-40C5-B4DB-CE477E064A46,0,ausgestorben oder verschollen,autrefois canton de GE,früher Kt. Genf,un tempo Canton Ginevra
BDC9C197-0B9C-4D0B-AE9F-A291AEB18751,3,gefährdet,,,
FDED5F9B-1B6E-4FC9-A297-76A4B171D51F,4,potentiell gefährdet,,,
8E2FC686-48DB-48E6-B9D7-A06550B394BB,3,gefährdet,,,
C45F978B-8283-4797-8A16-DC381D3287DD,2,stark gefährdet,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
3246AEF6-A9C5-457E-8642-695A583AC72C,3,gefährdet,,,
15400193-AD27-4DFB-A906-21BF97A20BFA,2,stark gefährdet,,,
6C055BF0-3DB8-46FA-9763-EBC46F58EEC3,0,ausgestorben oder verschollen,,,
68EEBAF6-C3E7-4F90-9BF3-0BE215B9AA8D,0,ausgestorben oder verschollen,,,
B568A717-20AB-421B-9DBA-A2E721A72CC5,4,potentiell gefährdet,,,
9201C966-8FD7-4CDC-9702-B79CDE2159E6,0,ausgestorben oder verschollen,,,
48F96584-E969-499C-A40B-595B4FC0E866,1,vom Aussterben bedroht,,,
CEB96927-DE3C-4F27-B18B-AD9CFB7E9BF7,3,gefährdet,,,
70229D88-559E-4FF5-B49F-ADCB1181CE9C,3,gefährdet,,,
7A673434-D18E-4F65-94FB-689C00ECC515,3,gefährdet,,,
90B46214-B666-4657-B1C9-DB4B42D1F803,3,gefährdet,,,
4E0C50F6-789F-4A5A-8B83-BD30A7CAFB26,3,gefährdet,,,
AFEDEC88-07AB-4213-868E-C444A94A8F17,3,gefährdet,,,
3CB7D194-767A-4D22-A0EF-1BE59B9D88B2,3,gefährdet,sur Echium,auf Echium,su Echium
AAA88F91-CF81-4BE6-86BF-F458385939F0,3,gefährdet,sur Cruciferae,auf Cruciferae,sulle Cruciferae
048E043D-4713-4FA3-82CB-2F3152083621,3,gefährdet,,,
50D45A1C-F0D0-434A-A206-EF8DC3557C40,3,gefährdet,,,
E5B1D8D3-3B1A-4913-96F6-01BBE2905B8D,0,ausgestorben oder verschollen,autrefois canton de GE,früher Kt. Genf,un tempo Canton Ginevra
DF630B89-E68A-4845-A58F-B3DD69FB69DB,3,gefährdet,sur Echium,auf Echium,su Echium
808D86FA-FD33-4C89-A737-D8E9FEEE4193,0,ausgestorben oder verschollen,autrefois canton de GE,früher Kt. Genf,un tempo Canton Ginevra
3264A7A7-EF9F-4363-9084-C0A466B96CD4,0,ausgestorben oder verschollen,,,
173891B1-F0A8-4890-BDFC-2C23A48C18BB,0,ausgestorben oder verschollen,autrefois dans bassin lémanique,früher um Genfersee,un tempo attorno al lago Lemano
6C29DEDE-9514-4BEB-B55E-D0B12BD5E138,3,gefährdet,manque de bois mort,Mangel an Totholz,mancanza di legno morto
4FA6EC6F-E07E-4AA4-9B9F-DBF82882FCE3,3,gefährdet,prés sec,Trockenrasen,prati secchi
7EE60539-ED06-49F9-8895-4EC325CE0438,4,potentiell gefährdet,,,
2DA89B89-356F-4222-9D85-1380819C57C8,3,gefährdet,,,
D61A60EF-1BC8-4DC7-9BC6-808853CDD0B8,3,gefährdet,terrains avec flore rudérale,Ruderalstellen,siti ruderali
2595A253-EB43-494C-BFAE-C9653E278FC2,3,gefährdet,manque de bois mort,Mangel an Totholz,mancanza di legno morto
493A7FF8-7238-4DDD-AA3E-EFB1D058C327,1,vom Aussterben bedroht,,,
F316B071-E1A3-4409-A5DD-45E94834DD96,0,ausgestorben oder verschollen,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
DEC1DF45-4E33-4495-86C3-0D2358D91E55,3,gefährdet,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
A2CB0E46-1C6D-4926-BADE-565C84442F63,1,vom Aussterben bedroht,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
023A9664-FBC8-4F51-97B6-2798DD6B8733,3,gefährdet,,,
582CFD40-43A8-4E78-A4CD-57A5C5F2988E,4,potentiell gefährdet,,,
B3FA26AC-3AB0-4B1A-AE94-1A62E2A849D7,2,stark gefährdet,dans le sable,Sandbewohner,vive nella sabbia
819A0C30-65F7-4567-B80F-BF24C007107E,3,gefährdet,,,
E2B36E29-25C1-461A-814C-1D4F63CD1A23,3,gefährdet,,,
630D06AD-BA8E-48B3-85FB-2045F8CC5E2C,0,ausgestorben oder verschollen,autrefois canton du VS,früher Kt. Wallis,un tempo Vallese
27113E7A-D086-499A-9B66-408DE707359E,3,gefährdet,,,
745A8444-AABB-4726-8ADB-0DB77390C45A,3,gefährdet,sur Fabaceae,auf Fabaceae,sulle Fabaceae
E58ACF27-531B-4D11-B18A-86C47DE7ACD1,3,gefährdet,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
B2D0E5F7-C34E-4ED5-81E2-13F91BA8C9E0,3,gefährdet,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
107181B8-E582-4A07-BB70-28E0B4D0A629,2,stark gefährdet,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
0E0F4372-0709-4554-8921-C2D5E6248FFC,3,gefährdet,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
ABF0B43D-E00C-4F32-A9E5-465B40A30640,3,gefährdet,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
66C2B850-FC04-4F58-9CEE-4779B7E13045,0,ausgestorben oder verschollen,,,
5178A2F3-87A9-4486-8FEA-770CC5211EBF,0,ausgestorben oder verschollen,,,
4F2840FE-86AE-4471-BAEF-EC061D2C2837,3,gefährdet,,,
25E67895-C460-4E9A-879B-6E623C7C9EC6,4,potentiell gefährdet,,,
AC3D90ED-B77F-470D-AF58-4CA1B5D02299,0,ausgestorben oder verschollen,autrefois dans canton VS,früher Kt. Wallis,un tempo Vallese
3C8C1160-C4AD-48BD-B7D6-79F59B2A1358,0,ausgestorben oder verschollen,,,
85CE213A-B30B-4F5F-9DA6-5F9187D2C229,0,ausgestorben oder verschollen,,,
6ADCAEC5-A84C-4778-9653-A42493F55D74,0,ausgestorben oder verschollen,autrefois dans canton GE,früher Kt. Genf,un tempo Canton Ginevra
E9C2EF28-880C-4885-AF52-CD10DDB1F022,2,stark gefährdet,,,
B58AAA1D-D7AD-4B17-BB8E-2C2C8E546DE7,3,gefährdet,,,
587FA7B5-2B84-4161-927F-C8ED0265B9AA,1,vom Aussterben bedroht,,,
D16A8960-F953-4389-AE4D-5A170B9104DA,3,gefährdet,,,
46E99BC6-9EAD-4505-983E-594EBA90A77B,2,stark gefährdet,,,
9A9ACA7B-017C-4B1A-B887-8B9B53657936,4,potentiell gefährdet,,,
4C6EE879-298E-443A-B355-6B5621285DD1,3,gefährdet,,,
FD8CD722-E495-4290-BCCA-5314C320A413,3,gefährdet,,,
C5F7111D-86E1-46ED-AE15-A6E71583DD53,0,ausgestorben oder verschollen,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
19BDCFDE-28DE-44A2-BA2B-007B4175E1BA,3,gefährdet,,,
59CCE270-7947-4351-ADFC-6FA564C460B3,3,gefährdet,,,
51B20CA1-E3D2-4CA3-AB15-95B19760AF2B,2,stark gefährdet,,,
3F982844-1F07-4FD2-9433-DB6ED41FB869,4,potentiell gefährdet,,,
857C26FB-6165-420D-9978-8B2157F9BF6F,1,vom Aussterben bedroht,,,
01CAA9D1-4592-4DF5-889F-7E21210D39F4,4,potentiell gefährdet,,,
0D4471FE-52D9-4118-8010-50A7FFCF15E6,4,potentiell gefährdet,,,
5826580F-5654-4EC5-B8BA-B2C120F7C5FD,0,ausgestorben oder verschollen,,,
27E39726-CA55-44E3-ACB9-5EDEE696C586,4,potentiell gefährdet,,,
FD86FB02-6890-4F4B-A9B2-1241801E9524,0,ausgestorben oder verschollen,autrefois dans canton GE,früher Kt. Genf,un tempo Canton Ginevra
DDA96775-1F69-4C5B-9F1A-F3B608A5E9F0,0,ausgestorben oder verschollen,,,
823469E1-32E4-4BCC-AFFD-BE3ACBB67336,0,ausgestorben oder verschollen,,,
274E7407-3A78-4553-A8F9-BFE4414E5602,3,gefährdet,,,
4F56255E-30E8-4AE0-A6DF-903B2142039D,3,gefährdet,,,
BBA20993-2221-447D-802D-BC6ED60BC4E4,1,vom Aussterben bedroht,,,
9F06408A-4E64-4815-BAC9-E2302415DFEA,3,gefährdet,,,
D205DD47-9E5E-4178-B646-69933F5E3FB6,2,stark gefährdet,recul de l'espèce hôte,Rückgang des Wirtes,diminuzione dell'ospite
41951108-3364-4C8C-BA26-9150AC7A0C90,0,ausgestorben oder verschollen,"autrefois au TI, sur Asteraceae","früher Tessin, auf Asteraceae","un tempo Ticino, sulle Asteraceae"
3BCAAF45-3FEA-4B0F-85D0-122DB1410F5A,3,gefährdet,sur Asteraceae,auf Asteraceae,sulle Asteraceae
9AA71539-2FF1-4936-8794-B45C36134CBB,1,vom Aussterben bedroht,,,
7F60224F-0D02-47CA-93CC-45057C1E70E4,0,ausgestorben oder verschollen,sur Malvaceae,auf Malvaceae,sulle Malvaceae
216AE8C3-AE88-43A9-A320-042454C85943,0,ausgestorben oder verschollen,,,
D7F26D5F-2494-41BD-A8C4-DBC2CB9A11D1,3,gefährdet,,,
24B62BB5-AD9B-4790-8F54-8B1EEB8CC3E6,2,stark gefährdet,,,
47C3A068-705E-40BA-BC46-579EAE64065A,0,ausgestorben oder verschollen,,,
69DD553E-A0B4-4A11-B003-E00F7274BC15,2,stark gefährdet,terrains avec flore rudérale,Ruderalstellen,siti ruderali
2439AB0E-79B6-44A3-A0DB-CEC7E2713C43,3,gefährdet,manque de bois mort,Mangel an Totholz,mancanza di legno morto
727588A5-1CBB-4371-B4E1-6DE7A4DAAD51,3,gefährdet,manque de bois mort,Mangel an Totholz,mancanza di legno morto
02AAECAF-08F9-47F1-9BB7-EA3121D7FECF,3,gefährdet,,,
161C9B7E-A0D2-4D38-AAEC-92737FA3EED4,0,ausgestorben oder verschollen,,,
0702AE31-D1F4-42C2-AF54-B7FD0F5B468D,0,ausgestorben oder verschollen,,,
C29306C4-951D-483A-8153-A989E829DDC6,3,gefährdet,,,
906BF115-7520-4B2E-BD25-61B3B8872C3E,3,gefährdet,,,
FFA369CD-08AF-495F-858D-041D2CAF2B56,4,potentiell gefährdet,,,
60D0DB98-B8D5-45B7-92D9-2190F6D6BD5F,2,stark gefährdet,,,
0B625C80-EFFE-4F73-8F34-60D912F117DA,2,stark gefährdet,,,
23F84230-9F6E-49FE-A162-7A105CFD5220,2,stark gefährdet,,,
762A7C46-761D-4F15-96E4-091047E0137B,3,gefährdet,,,
A4EDB4E9-8D7A-4E5F-8622-3B885E0ADED0,3,gefährdet,,,
9A2B33E8-B0F8-431D-97B2-569C1657FF68,3,gefährdet,"prairies et pâturages, parasite social obligatoire","Wiesen und Weiden, obligatorischer Sozialparasit","prati e pascoli, parassita sociale obbligatorio"
3E5F5ACA-3132-47DA-A3B1-014589DA2857,3,gefährdet,chênaies pubescentes,Flaumeichenwälder,querceti pubescenti
C546D586-A90C-4ECB-AF4F-34FC6A83AAEC,3,gefährdet,"nids de fourmis des bois, xenobionte","in Waldameisennestern, xenobiont","nidi delle formiche dei boschi, xenobionta"
93A2F57F-B573-4424-8312-DFDDA29B6DBB,3,gefährdet,"marais à petites laîches, chorologie inconnue","Kleinseggenried, Verbreitung unbekannt","paludi a piccole carici, corologia sconosciuta"
DC85947C-86B8-4B9F-B7E3-A545B679FD17,3,gefährdet,"marais à petites laîches, chorologie inconnue","Moor, Kleinseggenried, Verbreitung unbekannt","paludi a piccole carici, corologia sconosciuta"
D7E74D80-5F8A-4C69-98F7-6AF8012C1070,3,gefährdet,chorologie inconnue,Verbreitung unbekannt,corologia sconosciuta
97047261-A429-4CB5-96FD-0E07D488D09C,3,gefährdet,"prairies, pâturages, parasite social obligatoire","Weiden, Wiesen, obligatorischer Sozialparasit","prati, pascoli, parassita sociale obbligatorio"
DD82E8F2-5416-4802-B813-BC0A5A9D6D9A,3,gefährdet,"milieux ouverts, à la limite de l'aire de distribution","offene Stellen, am Rande des Verbreitungsgebietes","luoghi aperti, al limite dell'area di distribuzione"
231B9C94-BFC9-4B3D-94DA-AD7F1D7980D8,3,gefährdet,feuillus,Laubbäume,boschi di latifoglie
92421C26-E399-4255-BB8A-D3B5E1329E59,3,gefährdet,"milieux ouverts, à la limite de l'aire de distribution","offene Stellen, am Rande des Verbreitungsgebietes","luoghi aperti, al limite dell'area di distribuzione"
52C7E062-107E-42B9-8BD8-2D1A1DB2616E,3,gefährdet,"milieux ouverts, à la limite de l'aire de distribution","offene Stellen, am Rande des Verbreitungsgebietes","luoghi aperti, al limite dell'area di distribuzione"
93947727-F447-4213-B9AD-E86012F0AF21,2,stark gefährdet,"prairies maigres, lis. de forêts, parasite social temporaire","Magerwiesen, Waldränder, temporärer Sozialparasit","prati magri, bordi di boschi, parassita sociale temporaneo"
AC20B263-2D38-4D78-B8E2-885576F04F9A,4,potentiell gefährdet,"forêts, parasite social temporaire","Wälder, temporärer Sozialparasit","boschi, parassita sociale temporaneo"
0CDE6392-BF0A-4620-BF7C-D68B8A9B39F3,3,gefährdet,"prairies maigres, lis. de forêts, parasite social temporaire","Magerwiesen, Waldränder, temporärer Sozialparasit","prati magri, bordi di boschi, parassita sociale temporaneo"
6095BF4A-C43F-4148-862A-B51E09FB4984,4,potentiell gefährdet,"forêts, parasite social temporaire","Wälder, temporärer Sozialparasit","boschi, parassita sociale temporaneo"
4F74DF70-76AE-4E6E-9E2D-15F2AB7297B4,3,gefährdet,"milieux ouverts, à la limite de l'aire de distribution","offene Stellen, temporärer Sozialparasit","luoghi aperti, al limite dell'area di distribuzione"
D4F622A0-3C06-4303-A2AC-5C5E6433ABA4,3,gefährdet,"milieux ouverts, à la limite de l'aire de distribution",offene Stellen,"luoghi aperti, al limite dell'area di distribuzione"
0DFC758D-DCB8-45DD-B968-F73CC5C40FC0,3,gefährdet,chorologie inconnue,Verbreitung unbekannt,corologia sconosciuta
FD100D65-EC80-43FB-825E-0135B23B8EAC,2,stark gefährdet,"forêts claires, parasite social temporaire","lichte Wälder, temporärer Sozialparasit","boschi radi, parassita sociale temporaneo"
32FAD3FF-8E30-4AC9-8CB7-31FCEC533886,4,potentiell gefährdet,"milieux ouverts, à la limite de l'aire de distribution","offene Stellen, am Rande des Verbreitungsgebietes","luoghi aperti, al limite dell'area di distribuzione"
A94893E5-C69E-4442-B6B1-83037BA2C0AC,3,gefährdet,"milieux ouverts, parasite social obligatoire","offene Stellen, obligatorischer Sozialparasit","luoghi aperti, parassita sociale obbligatorio"
6F275E37-EDC2-48BF-ACDB-E83B84BC0A45,1,vom Aussterben bedroht,,,
BAFF99F8-13BF-48FE-A2A8-902645E23E7E,1,vom Aussterben bedroht,,,
459B72E7-347A-4492-96E1-BC862CB22D8A,2,stark gefährdet,,,
694ACD9E-DB52-4C08-8CE6-7D65AF86D698,1,vom Aussterben bedroht,,,
CD8FB2BA-9EA1-4CA8-8FA0-7CB479678E8F,2,stark gefährdet,,,
729F2E4A-AC52-43B4-986C-ED9CE8819A79,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
B028B9B4-2C80-4697-A461-65FEC3A8BD8C,2,stark gefährdet,,,
AF5362DA-8D84-44B1-B383-51202184DB73,2,stark gefährdet,,,
A987A17D-5D32-48C5-8D45-EAB58E77E146,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
3A650F78-DC75-47E7-A327-255A623A4F11,2,stark gefährdet,Disparu du Jura / Plateau ?,im Mittelland und Jura verschwunden?,scomparsa Giura / Altipiano?
2DBD0891-CC48-49B4-BCB0-0D05E0528A7D,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
34AC82B6-3046-4ADE-B2C4-FE3A1DDEFF04,4a,"potentiell gefährdet. a heisst: Tierarten, die im Gebiet nur wenige und kleine Populationen besitzen, die aber wegen dem Fehlen einer aktuellen Gefährdung nicht in den Kategorien 1 bis 3 figurieren. Die Kat. 4a entspricht der IUCN-Kategorie «Rare» (selten). Darunter fallen vor allem Arten, deren Verbreitungsgebiet die Schweiz noch knapp erreicht (Arealrand), oder Arten, die als Lokalendemiten im Gebiet schon immer selten waren. lnfolge ihrer grossen Seltenheit sind diese Arten durch unvorhersehbare lokale Ereignisse potentiell gefährdet.Zeichnetsich eine aktuelle Gefährdung ab, wechseln diese Arten direkt in die Kat. 1 (vom Aussterben bedroht) oder Kat. 2 B (im ganzen Gebiet stark gefährdet).",,,
2BB77652-E400-4CD6-A7BE-A88EFEC26141,2,stark gefährdet,,,
8C57476B-B3CC-45C3-8411-98FB4E2C4299,2,stark gefährdet,,,
F82F9226-F654-4C5E-B9D5-C07BEFA0DA4A,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
C70CDEEC-B8BD-479D-9DC1-D93C257587A4,2,stark gefährdet,Disparu du Jura (SH) ?,im Jura (SH) verschwunden ?,scomparsa dal Giura (SH) ?
5289E433-2D6F-4D7D-AB69-9F37CAC28B4E,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
49CBBD95-F1E8-482B-AB53-7259C9713E68,3,gefährdet,,,
34EBBA8B-74F6-4201-B645-776D8E097019,3,gefährdet,Rare dans le Jura,im Jura selten,rara nel Giura
94E449E2-878C-446F-9D52-635897A2B3ED,2,stark gefährdet,,,
42320F66-23CC-4A57-8C02-8A307EEB3092,2,stark gefährdet,Migrateur occasionnel au nord des Alpes,gelegentlich als Wanderart nördlich der Alpen,migratore occasionale al Nord delle Alpi
CDE32169-8E75-455B-AC24-1D1364AB42C6,2,stark gefährdet,,,
0D4AA36A-1BC3-4EE6-9E85-CAEBEBBABFDD,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
EC7E275D-BECD-4A91-9813-DC13A0EA8ECB,2,stark gefährdet,,,
2E5854E5-CB4D-4A8E-953D-2DD203560692,2,stark gefährdet,,,
14E72717-5FAB-44C6-ADA7-9711D6C38EBF,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
1F4ED241-0A76-4275-AEB3-AD5AD09CCE32,2,stark gefährdet,,,
BB8C0C61-5281-41A1-B6CE-F6DD41C7257C,2,stark gefährdet,,,
460E098E-93B2-4DED-AF19-CD565D3A84AA,2,stark gefährdet,,,
4915ACD5-E6E7-412C-918A-AA9466E3109F,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
55AC88C7-48BA-4EC9-8FC9-FC2BB285F1C9,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
0F89FBFB-F3AB-44FA-A193-771CFCFBBEB9,2,stark gefährdet,Disparu du Jura / Plateau?,im Jura und Mittelland verschwunden?,scomparsa Giura / Altipiano ?
12DFA1FE-59FE-45D8-8736-66C43ACF0FDC,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
6955DF52-2E62-4440-8D84-D25D1E8B551B,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
A65B102C-DADF-4DC1-AE95-8245B57C1F0E,1,vom Aussterben bedroht,,,
02D58061-70D0-4580-AB54-A5A992E9D18A,2,stark gefährdet,,,
70497115-B99B-4FC5-9F25-1BD47E9A1BFB,1,vom Aussterben bedroht,,,
955F2719-6328-4C44-878A-B69A45B69F51,4b,"potentiell gefährdet. Mit b sind Arten bezeichnet, deren taxonomischer Stand nicht geklärt ist. Oft ist bei Unterarten nicht klar, ob sie nicht tatsächlich als biologische Arten behandelt werden müssten.",,,
D049CA82-6958-4C06-9491-F5B0577A930C,2,stark gefährdet,,,
737B683E-02A6-42CE-A17F-33A45DA31439,1,vom Aussterben bedroht,,,
75B0F7C4-F77D-4712-B2D6-0DAB4985B0A6,1,vom Aussterben bedroht,La seule station TI détruite,einziger Standort im TI zerstört,l'unica stazione nel TI distrutta
AEC064FF-8C43-42FE-9463-956BBA099A91,2,stark gefährdet,,,
36D67F79-05CB-46C0-AC26-5EB2565D9351,3,gefährdet,En régression Jura / Plateau,Rückgang im Jura / Mittelland,in diminuzione Giura / Altipiano
4E2B6326-FBAB-4FF1-B9C9-1F55F59CE267,4a,"potentiell gefährdet. a heisst: Tierarten, die im Gebiet nur wenige und kleine Populationen besitzen, die aber wegen dem Fehlen einer aktuellen Gefährdung nicht in den Kategorien 1 bis 3 figurieren. Die Kat. 4a entspricht der IUCN-Kategorie «Rare» (selten). Darunter fallen vor allem Arten, deren Verbreitungsgebiet die Schweiz noch knapp erreicht (Arealrand), oder Arten, die als Lokalendemiten im Gebiet schon immer selten waren. lnfolge ihrer grossen Seltenheit sind diese Arten durch unvorhersehbare lokale Ereignisse potentiell gefährdet.Zeichnetsich eine aktuelle Gefährdung ab, wechseln diese Arten direkt in die Kat. 1 (vom Aussterben bedroht) oder Kat. 2 B (im ganzen Gebiet stark gefährdet).",,,
